1,黑暗之女,Annie
2,狂战士,Olaf
3,哨兵之殇,Galio
4,卡牌大师,TwistedFate
5,德邦总管,XinZhao
6,首领之傲,Urgot
7,诡术妖姬,Leblanc
8,猩红收割者,Vladimir
9,末日使者,Fiddlesticks
10,审判天使,Kayle
11,无极剑圣,MasterYi
12,牛头酋长,Alistar
13,流浪法师,Ryze
14,亡灵战神,Sion
15,战争女神,Sivir
16,众星之子,Soraka
17,迅捷斥候,Teemo
18,麦林炮手,Tristana
19,嗜血猎手,Warwick
20,雪人骑士,Nunu
21,赏金猎人,MissFortune
22,寒冰射手,Ashe
23,蛮族之王,Tryndamere
24,武器大师,Jax
25,堕落天使,Morgana
26,时光守护者,Zilean
27,炼金术士,Singed
28,寡妇制造者,Evelynn
29,瘟疫之源,Twitch
30,死亡颂唱者,Karthus
31,虚空恐惧,Chogath
32,殇之木乃伊,Amumu
33,披甲龙龟,Rammus
34,冰晶凤凰,Anivia
35,恶魔小丑,Shaco
36,祖安狂人,DrMundo
37,琴瑟仙女,Sona
38,虚空行者,Kassadin
39,刀锋意志,Irelia
40,风暴之怒,Janna
41,海洋之灾,Gangplank
42,英勇投弹手,Corki
43,天启者,Karma
44,瓦洛兰之盾,Taric
45,邪恶小法师,Veigar
48,巨魔之王,Trundle
50,策士统领,Swain
51,皮城女警,Caitlyn
53,蒸汽机器人,Blitzcrank
54,熔岩巨兽,Malphite
55,不祥之刃,Katarina
56,永恒梦魇,Nocturne
57,扭曲树精,Maokai
58,荒漠屠夫,Renekton
59,德玛西亚皇子,JarvanIV
60,蜘蛛女皇,Elise
61,发条魔灵,Orianna
62,齐天大圣,MonkeyKing
63,复仇焰魂,Brand
64,盲僧,LeeSin
67,暗夜猎手,Vayne
68,机械公敌,Rumble
69,魔蛇之拥,Cassiopeia
72,水晶先锋,Skarner
74,大发明家,Heimerdinger
75,沙漠死神,Nasus
76,狂野女猎手,Nidalee
77,兽灵行者,Udyr
78,钢铁大使,Poppy
79,酒桶,Gragas
80,战争之王,Pantheon
81,探险家,Ezreal
82,金属大师,Mordekaiser
83,掘墓者,Yorick
84,暗影之拳,Akali
85,狂暴之心,Kennen
86,德玛西亚之力,Garen
89,曙光女神,Leona
90,虚空先知,Malzahar
91,刀锋之影,Talon
92,放逐之刃,Riven
96,深渊巨口,KogMaw
98,暮光之眼,Shen
99,光辉女郎,Lux
101,远古巫灵,Xerath
102,龙血武姬,Shyvana
103,九尾妖狐,Ahri
104,法外狂徒,Graves
105,潮汐海灵,Fizz
106,雷霆咆哮,Volibear
107,傲之追猎者,Rengar
110,惩戒之箭,Varus
111,深海泰坦,Nautilus
112,机械先驱,Viktor
113,凛冬之怒,Sejuani
114,无双剑姬,Fiora
115,爆破鬼才,Ziggs
117,仙灵女巫,Lulu
119,荣耀行刑官,Draven
120,战争之影,Hecarim
121,虚空掠夺者,Khazix
122,诺克萨斯之手,Darius
126,未来守护者,Jayce
127,冰霜女巫,Lissandra
131,皎月女神,Diana
133,德玛西亚之翼,Quinn
134,暗黑元首,Syndra
136,铸星龙王,AurelionSol
143,荆棘之兴,Zyra
150,迷失之牙,Gnar
154,生化魔人,Zac
157,疾风剑豪,Yasuo
161,虚空之眼,Velkoz
163,岩雀,Taliyah
201,弗雷尔卓德之心,Braum
222,暴走萝莉,Jinx
236,圣枪游侠,Lucian
238,影流之主,Zed
245,时间刺客,Ekko
254,皮城执法官,Vi
266,暗裔剑魔,Aatrox
267,唤潮鲛姬,Nami
268,沙漠黄帝,Azir
412,锁魂典狱长,Thresh
429,复仇之矛,Kalista
202,戏命师,Jhin
203,永猎双子,Kindred
420,海兽祭司,Illaoi
521,虚空遁地兽,RekSai
522,星界游神,Bard
523,河流之王,TahmKench
524,暴怒骑士,Kled
1003,翠神,Ivern
1004,卡密尔,Camille
1005,洛,Rakan
1006,霞,Xayah
1007,凯隐,Kayn
1008,奥恩,Ornn